reference_index,net_profit,num_of_trade,code,std_ratio_thres,sma_len,sma_dir,candle_dir,candle_len,cycle,sl,tp
17966,-1407.02,7,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,above,negative,1,20,1,7
17960,-1407.02,7,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,above,negative,1,20,1,5
17959,-1407.02,7,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,above,negative,1,15,1,5
17972,-1407.02,7,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,above,negative,1,20,1,10
17971,-1407.02,7,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,above,negative,1,15,1,10
17965,-1407.02,7,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,above,negative,1,15,1,7
15976,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,2.5,15,whatever,positive,1,15,2,7
15760,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,2.5,10,whatever,positive,1,15,2,7
15952,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,2.0,15,whatever,positive,1,15,2,7
16144,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,1.0,20,whatever,positive,1,15,2,7
16168,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,2.0,20,whatever,positive,1,15,2,7
15736,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,2.0,10,whatever,positive,1,15,2,7
16192,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,2.5,20,whatever,positive,1,15,2,7
15928,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,1.0,15,whatever,positive,1,15,2,7
15712,-1407.79,448,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,whatever,positive,1,15,2,7
4328,-1408.26,191,GN02_market_price_usd_ohlc_4h_ETH,1.0,20,above,positive,1,20,1,5
17498,-1409.46,53,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,above,negative,1,20,1,3
17497,-1409.46,53,GN05_market_price_usd_ohlc_4h_DOGE,1.0,10,above,negative,1,15,1,3
3907,-1410.55,208,GN02_market_price_usd_ohlc_4h_ETH,1.0,10,above,positive,1,15,1,10
13462,-1411.06,49,GN04_market_price_usd_ohlc_4h_SUI,2.5,20,above,positive,4,15,2,10
8319,-1411.72,4,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,below,positive,1,10,2,7
8325,-1411.72,4,GN03_market_price_usd_ohlc_4h_SOL,2.0,20,below,positive,1,10,2,10
11695,-1412.35,122,GN04_market_price_usd_ohlc_4h_SUI,2.0,10,above,positive,1,15,1,5
10697,-1412.88,107,GN03_market_price_usd_ohlc_4h_SOL,2.0,15,below,negative,2,20,2,7
7472,-1417.29,23,GN02_market_price_usd_ohlc_4h_ETH,2.5,15,below,negative,4,20,1,5
